station_id,station_name,year,month,month_total
40600,Kostner,2024,8,7827
40420,Cicero-Cermak,2024,8,27525
40580,54th/Cermak,2024,8,46117
40020,Harlem-Lake,2024,8,61608
41350,Oak Park-Lake,2024,8,23299
40610,Ridgeland,2024,8,19760
41260,Austin-Lake,2024,8,27155
40280,Central-Lake,2024,8,35281
40700,Laramie,2024,8,17626
40480,Cicero-Lake,2024,8,21173
40030,Pulaski-Lake,2024,8,25004
41670,Conservatory,2024,8,17483
41070,Kedzie-Lake,2024,8,19522
41360,California-Lake,2024,8,21410
41710,Damen-Lake,2024,8,19720
40170,Ashland-Lake,2024,8,65624
41510,Morgan-Lake,2024,8,110554
41160,Clinton-Lake,2024,8,71075
41690,Cermak-McCormick Place,2024,8,43949
41120,35-Bronzeville-IIT,2024,8,31864
40300,Indiana,2024,8,11266
41270,43rd,2024,8,15750
41080,47th-South Elevated,2024,8,17181
40130,51st,2024,8,16480
40510,Garfield-South Elevated,2024,8,20800
41140,King Drive,2024,8,7821
40720,East 63rd-Cottage Grove,2024,8,16833
40940,Halsted/63rd,2024,8,8625
40290,Ashland/63rd,2024,8,16767
41290,Kimball,2024,8,74513
41180,Kedzie-Brown,2024,8,36236
40870,Francisco,2024,8,25417
41010,Rockwell,2024,8,26175
41480,Western-Brown,2024,8,58902
40090,Damen-Brown,2024,8,42252
41500,Montrose-Brown,2024,8,39823
41460,Irving Park-Brown,2024,8,43962
41440,Addison-Brown,2024,8,31889
41310,Paulina,2024,8,46470
40360,Southport,2024,8,61535
41210,Wellington,2024,8,47906
40530,Diversey,2024,8,83280
40660,Armitage,2024,8,70594
40800,Sedgwick,2024,8,77370
40710,Chicago/Franklin,2024,8,115515
40460,Merchandise Mart,2024,8,101639
40930,Midway Airport,2024,8,153843
40960,Pulaski-Orange,2024,8,79744
41150,Kedzie-Midway,2024,8,59799
40310,Western-Orange,2024,8,63830
40120,35th/Archer,2024,8,47876
41060,Ashland-Orange,2024,8,31101
41130,Halsted-Orange,2024,8,44404
40730,Washington/Wells,2024,8,105887
40040,Quincy/Wells,2024,8,117926
40160,LaSalle/Van Buren,2024,8,42220
40850,Library,2024,8,74313
