community_area,community_area_name,pop_total,median_hh_income,pct_no_vehicle_hh,pct_disabled,pct_65_plus,centroid_lat,centroid_lon,pct_65_plus_need_0_100,pct_disabled_need_0_100,pct_no_vehicle_hh_need_0_100,median_hh_income_need_0_100,transportation_need_index_0_100,need_quintile,total_trips
65,West Lawn,37673.02429688664,70657.51175749202,0.10627642403106259,0.26123432293418347,0.12839632731975897,41.76977903154135,-87.72692933445079,33.77,87.01,15.58,44.16,45.13,Moderate,355502
66,Chicago Lawn,54303.25941195895,53371.25551277122,0.2234551266646521,0.2679585833896778,0.12675926006398647,41.77184915902873,-87.69566636418595,31.17,90.91,54.55,72.73,62.34,High,843210
67,West Englewood,28312.475350818517,38985.071605119956,0.290128343210016,0.24140274881779678,0.16581253816419056,41.77593028944098,-87.66659636148363,64.94,72.73,66.23,89.61,73.38,Very High,740768
68,Englewood,23159.613326150316,30987.538495435194,0.4301783679117246,0.2134013890763722,0.17999943863835735,41.77719770252813,-87.64249719974059,71.43,42.86,93.51,97.4,76.3,Very High,941072
69,Greater Grand Crossing,29219.324197205337,42582.03405516807,0.41021902968345736,0.2277610633107873,0.18162555021684335,41.763247073626026,-87.61613416907454,74.03,59.74,90.91,87.01,77.92,Very High,1241499
70,Ashburn,63471.56290082785,83352.54082469393,0.0674933562297715,0.24673266737701746,0.1353494238974041,41.74575691418482,-87.70836548832601,37.66,79.22,7.79,29.87,38.64,Low,507491
71,Auburn Gresham,43864.22498826943,48235.570788402256,0.2665252765182997,0.23626854988690557,0.19421468202263287,41.74420543691773,-87.65630678738879,87.01,68.83,64.94,77.92,74.68,Very High,1222788
72,Beverly,20959.204934880192,128769.1328750956,0.05172934140521682,0.23197270139291512,0.21238811273584204,41.71314972583588,-87.67507504919683,90.91,64.94,2.6,5.19,40.91,Low,263299
73,Washington Heights,24755.86979008696,64772.62312095879,0.16385263564728872,0.21128180389189438,0.19596920810536742,41.71749388292614,-87.64889548780167,88.31,38.96,35.06,54.55,54.22,Moderate,609550
74,Mount Greenwood,51381.165831471255,98067.2825636757,0.05896525442431512,0.25813751526828765,0.18288385680158858,41.69487944254784,-87.7131918580596,77.92,84.42,3.9,16.88,45.78,Moderate,114191
75,Morgan Park,40093.62039037558,65272.55288556998,0.1145912520618659,0.22203848483058858,0.1761946570935694,41.689729585922855,-87.66905398718522,67.53,48.05,19.48,51.95,46.75,Moderate,464165
76,Ohare,64818.197066137596,80932.41451400501,0.07486346260664076,0.22356549332476103,0.15340159535963785,41.975683923997096,-87.89370075775543,50.65,50.65,9.09,31.17,35.39,Very Low,5879773
77,Edgewater,56547.456728229576,74491.68138059463,0.3852449980794757,0.09985801833779515,0.15756534764400099,41.98671222550283,-87.6634166067842,58.44,5.19,87.01,38.96,47.4,Moderate,2381568
