station_id,station_name,STATION_ID,LONGNAME,LINES,score
40320,Division/Milwaukee,570,California/Milwaukee,Blue Line (O'Hare),0.7306878306878307
40330,Grand/State,330,Grand/State,Red Line,1.0
40330,Grand/State,490,Grand/Milwaukee,Blue Line (O'Hare),0.8521212121212122
40330,Grand/State,1660,Lake/State,Red Line,0.7787878787878788
40330,Grand/State,1020,Logan Square,Blue Line,0.73989898989899
40330,Grand/State,1450,Chicago/State,Red Line,0.7392191142191141
40330,Grand/State,560,Jackson/State,Red Line,0.7392191142191141
40330,Grand/State,460,Merchandise Mart,"Brown, Purple (Express)",0.719486531986532
40340,Berwyn,340,Berwyn,Red Line,1.0
40340,Berwyn,1380,Bryn Mawr,Red Line,0.7333333333333334
40350,UIC-Halsted,350,UIC-Halsted,Blue Line,1.0
40360,Southport,360,Southport,Brown Line,1.0
40360,Southport,840,South Boulevard,"Purple Line, Evanston Express",0.8488888888888889
40370,Washington/Dearborn,370,Washington/Dearborn,Blue Line,1.0
40370,Washington/Dearborn,1700,Washington/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",0.8897832817337461
40370,Washington/Dearborn,730,Washington/Wells,"Brown, Orange, Pink, Purple (Express)",0.8763157894736843
40370,Washington/Dearborn,70,Jackson/Dearborn,Blue Line,0.704031713900135
40380,Clark/Lake,380,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",1.0
40380,Clark/Lake,280,Central-Lake,Green Line (Lake),0.8616666666666666
