year,GEOID,NAME,state,county,tract,pop_total,median_hh_income,hh_total,hh_no_vehicle,disability_total,disability_with,age_65_plus,pct_65_plus,pct_no_vehicle_hh,pct_disabled,transportation_need_index_0_100,need_quintile
2024,17031803611,Census Tract 8036.11; Cook County; Illinois,17,31,803611,6341,63639,2173,237,6341,1428,690,0.1088156442201545,0.1090658076392084,0.225201072386059,50.91,Moderate
2024,17031803612,Census Tract 8036.12; Cook County; Illinois,17,31,803612,3379,72603,1356,152,3379,879,207,0.0612607280260432,0.1120943952802359,0.260136134951169,49.62,Moderate
2024,17031803613,Census Tract 8036.13; Cook County; Illinois,17,31,803613,3167,64055,1093,113,3167,1053,240,0.0757814966845595,0.1033851784080512,0.3324913167035049,56.77,High
2024,17031803614,Census Tract 8036.14; Cook County; Illinois,17,31,803614,3965,63448,1579,54,3965,954,349,0.0880201765447667,0.0341988600379987,0.2406052963430012,43.25,Low
2024,17031803615,Census Tract 8036.15; Cook County; Illinois,17,31,803615,2460,107941,1138,30,2460,333,248,0.1008130081300813,0.0263620386643233,0.1353658536585366,19.34,Very Low
2024,17031803616,Census Tract 8036.16; Cook County; Illinois,17,31,803616,4842,90347,2197,89,4842,756,742,0.1532424617926476,0.0405097860719162,0.1561338289962825,33.2,Very Low
2024,17031803701,Census Tract 8037.01; Cook County; Illinois,17,31,803701,2795,85433,1409,33,2795,364,594,0.2125223613595706,0.0234208658623137,0.1302325581395348,38.32,Low
2024,17031803702,Census Tract 8037.02; Cook County; Illinois,17,31,803702,6098,116569,2527,67,6038,1426,1234,0.2023614299770416,0.0265136525524337,0.2361709175223584,44.23,Low
2024,17031803800,Census Tract 8038; Cook County; Illinois,17,31,803800,4145,133380,1735,51,4145,734,793,0.1913148371531966,0.0293948126801152,0.1770808202653799,32.13,Very Low
2024,17031803901,Census Tract 8039.01; Cook County; Illinois,17,31,803901,3626,66466,1984,228,3626,536,984,0.2713734142305571,0.1149193548387096,0.1478212906784335,57.63,High
2024,17031803902,Census Tract 8039.02; Cook County; Illinois,17,31,803902,3409,113023,1206,11,3318,669,546,0.1601642710472279,0.0091210613598673,0.201627486437613,31.27,Very Low
2024,17031804000,Census Tract 8040; Cook County; Illinois,17,31,804000,4705,87196,1933,60,4697,882,1004,0.2133900106269925,0.0310398344542162,0.187779433681073,43.81,Low
2024,17031804102,Census Tract 8041.02; Cook County; Illinois,17,31,804102,7027,165680,2443,0,6900,1722,1639,0.2332432047815568,0.0,0.2495652173913043,41.36,Low
2024,17031804104,Census Tract 8041.04; Cook County; Illinois,17,31,804104,4940,152013,1815,39,4940,1086,1119,0.2265182186234818,0.0214876033057851,0.2198380566801619,39.8,Low
2024,17031804105,Census Tract 8041.05; Cook County; Illinois,17,31,804105,4570,153981,1699,19,4562,1028,911,0.199343544857768,0.011183048852266,0.2253397632617273,36.47,Very Low
2024,17031804106,Census Tract 8041.06; Cook County; Illinois,17,31,804106,7231,150132,2624,16,7231,1761,1071,0.1481122942884801,0.0060975609756097,0.2435347808048679,31.73,Very Low
2024,17031804108,Census Tract 8041.08; Cook County; Illinois,17,31,804108,4270,88773,2175,195,4270,935,338,0.0791569086651053,0.0896551724137931,0.2189695550351288,38.24,Low
