the_geom,station_id,longname,lines,address,ada,pknrd,point_x,point_y,legend
POINT (-87.62929566463735 41.87818251886981),70,Jackson/Dearborn,Blue Line,328 S. Dearborn,True,False,1175981.49715054,1898986.07233741,Blue Line
POINT (-87.62759609756428 41.87815275695708),560,Jackson/State,Red Line,230 S. State,True,False,1176444.43423897,1898979.0284974,Red Line
POINT (-87.67597409605341 41.854514862029305),210,Damen,Pink Line,2010 S. Damen Avenue,True,False,1163335.47601876,1890260.80487328,Pink Line
POINT (-87.79160214979832 41.8721079742148),180,Oak Park-Congress,Blue Line,950 S. Oak Park Avenue,False,False,1131794.16322138,1896451.73249505,Blue Line
POINT (-87.65884028505945 41.983504225254826),1380,Bryn Mawr,Red Line,1119 W. Bryn Mawr Avenue,False,False,1167633.60312676,1937300.91346109,Red Line
POINT (-87.65920227948938 41.99366426103332),760,Granville,Red Line,1119 W. Granville Avenue,True,False,1167506.03909464,1941002.51448854,Red Line
POINT (-87.67088394357924 41.94370914853046),1310,Paulina,Brown Line,3411 N. Paulina Street,True,False,1164471.22974782,1922773.86704756,Brown Line
POINT (-87.77678526925513 41.87088639373906),10,Austin-Congress,Blue Line,1050 S. Austin Blvd,False,False,1135832.54120914,1896032.40833466,Blue Line
POINT (-87.71314203532829 41.96792815152359),1290,Kimball,Brown Line,4755 N. Kimball Avenue,True,True,1152910.87594505,1931513.3373917,Brown Line
POINT (-87.62802125739587 41.891665201383724),330,Grand/State,Red Line,521 N. State Street,True,False,1176288.17926282,1903902.00526999,Red Line
POINT (-87.70542795670059 41.854130586664574),1040,Kedzie-Douglas,Pink Line,1944 S. Kedzie Avenue,True,False,1155312.29879529,1890060.7219291,Pink Line
POINT (-87.71652283291752 41.88490437974896),1670,Conservatory-Central Park,Green Line (Lake),3631 W. Lake Street,True,False,1152209.0952084,1901252.71835552,Green Line
POINT (-87.73326365861335 41.85375068701122),600,Kostner,Pink Line,2019 S. Kostner Avenue,True,False,1147729.86397223,1889868.06298492,Pink Line
POINT (-87.80889493503287 41.982323370406654),750,Harlem-O'Hare,Blue Line (O'Hare),5550 N. Harlem Avenue,True,True,1126838.69876877,1936585.06680443,Blue Line
